CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350001,0001.00 (5350001.00)   00000 (  0.8%),505,25,100,15,100,0,260,185,75
5350002,0002.00 (5350002.00)   00101 (  7.4%),600,45,170,15,75,15,285,160,125
5350003,0003.00 (5350003.00)   02100 (  0.9%),420,35,45,0,105,0,235,160,75
5350004,0004.00 (5350004.00)   00101 (  5.3%),5710,1070,1530,405,1075,125,1490,1065,430
5350005,0005.00 (5350005.00)   00001 (  6.6%),5525,845,1210,260,1085,140,1985,1440,545
5350007.01,0007.01 (5350007.01)   00001 (  8.4%),2840,405,600,120,665,100,955,670,285
5350007.02,0007.02 (5350007.02)   00101 (  5.4%),4090,690,1145,250,700,80,1235,875,355
5350008.01,0008.01 (5350008.01)   00000 (  4.7%),7335,100,800,110,1280,190,4850,3420,1430
5350008.02,0008.02 (5350008.02)   00000 (  3.8%),9235,360,1230,240,1720,200,5485,3780,1705
5350009,0009.00 (5350009.00)   03101 (  9.2%),260,30,75,15,60,15,70,55,15
5350010.01,0010.01 (5350010.01)   00001 (  5.7%),4730,270,720,145,760,110,2730,1940,790
5350010.02,0010.02 (5350010.02)   00100 (  6.0%),6830,520,975,225,1070,145,3895,2645,1245
5350011,0011.00 (5350011.00)   00101 (  8.1%),16935,335,1900,155,1600,365,12575,8530,4045
5350012.01,0012.01 (5350012.01)   00101 (  5.1%),10845,370,1780,195,1490,255,6750,4635,2110
5350012.03,0012.03 (5350012.03)   00101 (  6.1%),8275,145,935,100,905,175,6020,4075,1940
5350012.04,0012.04 (5350012.04)   00000 (  5.0%),4670,115,525,95,655,85,3200,1990,1210
5350013.01,0013.01 (5350013.01)   00001 (  7.0%),5985,180,735,115,635,195,4135,2650,1480
5350013.02,0013.02 (5350013.02)   00000 (  5.4%),7535,185,990,160,830,145,5220,2960,2260
5350014,0014.00 (5350014.00)   00111 ( 12.3%),1115,25,190,20,85,45,745,525,220
5350015,0015.00 (5350015.00)   00000 (  5.7%),3490,120,490,75,420,90,2295,1360,930
5350016,0016.00 (5350016.00)   00000 (  5.8%),9120,345,1240,195,1280,225,5840,3715,2125
5350017,0017.00 (5350017.00)   00000 (  5.4%),7140,540,1310,240,1275,220,3555,2255,1295
5350018,0018.00 (5350018.00)   00100 (  3.7%),2080,135,400,55,340,65,1085,725,365
