CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350001.00,0001.00 (5350001.00)   00000 (  2.7%),510,395,300,155,145,25,70,115,10,40,65
5350002.00,0002.00 (5350002.00)   00100 (  9.0%),530,415,305,195,110,35,80,115,15,25,75
5350003.00,0003.00 (5350003.00)   02100 ( 28.3%),425,275,220,145,75,20,35,150,10,20,115
5350004.00,0004.00 (5350004.00)   00100 (  6.6%),5700,2940,2025,1095,925,315,600,2765,235,735,1795
5350005.00,0005.00 (5350005.00)   00000 (  4.9%),5525,2900,1965,1240,725,375,565,2630,205,695,1720
5350007.01,0007.01 (5350007.01)   00000 (  4.8%),2815,1480,1070,605,465,150,255,1335,80,335,925
5350007.02,0007.02 (5350007.02)   00100 (  5.1%),4110,2210,1445,810,640,275,485,1900,145,485,1280
5350008.01,0008.01 (5350008.01)   00000 (  4.8%),7205,3445,3250,2760,490,90,110,3760,175,795,2795
5350008.02,0008.02 (5350008.02)   00000 (  4.4%),9235,4710,3915,2935,975,325,475,4520,260,1050,3205
5350009.00,0009.00 (5350009.00)   03100 ( 32.4%),260,125,70,55,20,30,25,135,15,40,85
5350010.01,0010.01 (5350010.01)   00000 (  4.0%),4865,2710,2265,1635,635,215,225,2155,105,475,1570
5350010.02,0010.02 (5350010.02)   00100 (  6.8%),6830,3530,2955,2145,815,230,345,3300,165,710,2420
5350011.00,0011.00 (5350011.00)   00100 (  6.1%),16935,7000,6370,5385,990,210,420,9935,420,2235,7275
5350012.01,0012.01 (5350012.01)   00100 (  5.0%),10840,5010,4125,3140,985,355,540,5830,425,1980,3430
5350012.03,0012.03 (5350012.03)   00100 (  4.8%),8405,4000,3500,2630,870,170,335,4405,335,1420,2650
5350012.04,0012.04 (5350012.04)   00000 (  4.8%),4615,2375,2080,1610,470,115,185,2240,120,615,1505
5350013.01,0013.01 (5350013.01)   00000 (  5.0%),5980,2885,2495,2030,465,155,235,3095,165,635,2290
5350013.02,0013.02 (5350013.02)   00000 (  4.3%),7540,4410,3800,2735,1065,180,430,3125,185,650,2295
5350014.00,0014.00 (5350014.00)   00100 (  7.9%),1115,675,550,390,160,40,85,445,35,70,340
5350015.00,0015.00 (5350015.00)   00000 (  4.2%),3400,1855,1550,1275,280,110,190,1550,90,275,1180
5350016.00,0016.00 (5350016.00)   00000 (  6.3%),9120,4685,4065,3315,745,235,380,4435,195,725,3520
5350017.00,0017.00 (5350017.00)   00000 (  4.6%),7145,3895,2785,1940,845,470,635,3250,195,535,2515
5350018.00,0018.00 (5350018.00)   00100 (  5.6%),2055,1235,1015,655,360,85,140,820,40,180,595
5350019.00,0019.00 (5350019.00)   00100 (  6.8%),2575,1810,1190,530,660,215,410,765,95,180,485
5350020.00,0020.00 (5350020.00)   00000 (  3.0%),1935,1560,1230,560,670,80,245,375,30,35,305
5350021.00,0021.00 (5350021.00)   00000 (  3.9%),4495,2975,2250,1220,1040,225,500,1515,70,230,1220
5350022.00,0022.00 (5350022.00)   00000 (  2.6%),3075,2555,1870,685,1180,155,535,515,50,75,390
5350023.00,0023.00 (5350023.00)   00000 (  2.4%),2630,2175,1575,650,930,115,480,460,40,50,365
5350024.00,0024.00 (5350024.00)   00000 (  3.5%),5485,4150,3145,1395,1755,315,690,1335,105,255,975
5350025.00,0025.00 (5350025.00)   00000 (  3.6%),2845,2020,1510,775,745,185,320,830,90,130,615
5350026.00,0026.00 (5350026.00)   00000 (  2.8%),5325,3935,2780,1230,1550,375,780,1395,165,385,835
5350027.00,0027.00 (5350027.00)   00000 (  4.1%),3600,2675,1850,820,1030,245,575,925,135,300,495
5350028.01,0028.01 (5350028.01)   00000 (  3.3%),1160,790,645,380,265,50,90,375,25,60,285
5350028.02,0028.02 (5350028.02)   00000 (  5.7%),5130,3420,2705,1520,1185,230,485,1710,155,435,1120
5350029.00,0029.00 (5350029.00)   00000 (  3.7%),5890,4125,2890,1460,1425,375,860,1760,205,535,1025
5350030.00,0030.00 (5350030.00)   00100 (  5.6%),3855,2330,1545,930,620,260,520,1525,135,430,960
5350031.00,0031.00 (5350031.00)   00100 (  3.6%),5190,3510,1950,735,1210,460,1105,1680,140,350,1200
5350032.00,0032.00 (5350032.00)   01100 ( 17.6%),3870,1600,1115,765,350,190,295,2275,80,500,1695
5350033.00,0033.00 (5350033.00)   01100 ( 10.7%),4035,1725,1090,715,375,295,340,2310,125,545,1640
5350034.01,0034.01 (5350034.01)   01200 ( 15.2%),3785,1645,1345,960,385,100,200,2145,175,935,1035
5350034.02,0034.02 (5350034.02)   00100 (  6.6%),4645,2055,1575,1190,380,185,295,2590,125,780,1685
5350035.00,0035.00 (5350035.00)   00100 (  5.0%),9145,4010,3055,1990,1065,340,610,5135,495,1770,2870
5350036.00,0036.00 (5350036.00)   00100 (  5.0%),5160,2240,1760,1260,500,175,310,2920,245,845,1825
5350037.00,0037.00 (5350037.00)   00100 (  7.0%),4030,1590,1080,625,455,165,345,2435,140,1380,915
5350038.00,0038.00 (5350038.00)   00100 (  7.9%),3355,1555,1070,625,445,160,325,1805,115,980,705
5350039.00,0039.00 (5350039.00)   00100 (  5.0%),3605,2235,1130,575,560,365,740,1370,155,570,650
5350040.00,0040.00 (5350040.00)   00100 (  3.4%),4060,2565,1810,985,830,225,525,1495,145,860,490
5350041.00,0041.00 (5350041.00)   00000 (  3.3%),3045,1880,1365,725,635,150,370,1165,130,595,450
5350042.00,0042.00 (5350042.00)   00100 (  4.0%),4025,2475,1830,1050,780,190,460,1550,145,765,640
5350043.00,0043.00 (5350043.00)   00100 (  5.6%),3355,2170,1680,950,730,140,355,1180,90,510,580
