CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350001.00,515,515,515,510,510,510,510,510,510,510,510,515,515,510,515,510,515,515,510,515,510,515,510,515,510,515,510,510,510,510,510,510,510,510
5350002.00,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,535,535,530,535,530,530,530,530,535,530,535,530,530,530,530,535,530,530,535
5350003.00,425,430,425,425,425,430,430,425,430,430,430,425,430,425,425,425,430,425,430,425,425,425,430,425,430,425,425,425,425,430,430,425,430,430
5350004.00,5700,5700,5700,5700,5700,5705,5700,5700,5700,5700,5705,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5705,5700,5700,5700,5700,5700,5705,5700
5350005.00,5525,5525,5530,5530,5530,5525,5525,5530,5530,5530,5525,5530,5525,5530,5530,5525,5525,5530,5525,5525,5525,5530,5525,5530,5525,5530,5530,5525,5530,5530,5530,5530,5525,5530
5350007.01,2815,2820,2815,2815,2815,2820,2815,2815,2815,2820,2815,2820,2820,2815,2815,2815,2820,2815,2820,2820,2820,2820,2820,2820,2820,2820,2820,2815,2815,2815,2820,2815,2815,2820
5350007.02,4115,4115,4110,4110,4115,4115,4110,4110,4110,4115,4115,4115,4110,4110,4115,4115,4115,4115,4115,4110,4110,4110,4110,4110,4115,4110,4110,4110,4110,4110,4115,4110,4115,4115
5350008.01,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7200,7200,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7200,7205,7205,7205
5350008.02,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235
5350009.00,260,260,260,260,260,260,260,260,260,260,265,260,260,260,260,260,260,260,260,260,260,260,260,265,260,260,260,265,265,260,265,260,260,260
5350010.01,4865,4860,4865,4860,4865,4865,4865,4865,4865,4865,4865,4865,4865,4865,4865,4860,4865,4860,4860,4865,4865,4860,4860,4865,4860,4860,4865,4860,4865,4865,4865,4860,4865,4865
5350010.02,6830,6830,6830,6830,6830,6830,6830,6825,6830,6830,6825,6830,6830,6830,6830,6830,6830,6830,6825,6830,6830,6825,6830,6830,6830,6830,6830,6825,6830,6830,6830,6830,6830,6830
5350011.00,16935,16935,16935,16935,16935,16940,16935,16935,16935,16935,16940,16935,16935,16940,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16940,16935,16935,16940,16935,16935,16940,16935
5350012.01,10845,10845,10840,10840,10840,10840,10845,10845,10845,10840,10845,10845,10845,10840,10845,10845,10845,10845,10845,10845,10845,10840,10845,10845,10845,10840,10840,10840,10840,10845,10840,10840,10840,10845
