CTUID,Geography,Total - Mother tongue,  Single responses,    Official languages,      English,      French,    Non-official languages,      Aboriginal languages,        Algonquian languages,          Blackfoot,          Cree-Montagnais languages,            Atikamekw,            Montagnais (Innu),            Moose Cree,            Naskapi,            Northern East Cree,            Plains Cree,            Southern East Cree,            Swampy Cree,            Woods Cree,"            Cree, n.o.s.",          Eastern Algonquian languages,            Malecite,            Mi'kmaq,          Ojibway-Potawatomi languages,            Algonquin,            Ojibway,            Oji-Cree,            Ottawa (Odawa),"          Algonquian languages, n.i.e.",        Athabaskan languages,          Northern Athabaskan languages,            Babine (Wetsuwet'en),            Beaver,            Carrier,            Chilcotin,            Dene,            Dogrib (Tlicho),            Gwich'in,            Sarsi (Sarcee),            Sekani,            Slavey-Hare languages,              North Slavey (Hare),              South Slavey,"              Slavey, n.o.s.",            Tahltan languages,              Kaska (Nahani),              Tahltan,            Tutchone languages,              Northern Tutchone,              Southern Tutchone,"          Athabaskan languages, n.i.e.",        Haida,        Inuit languages,          Inuinnaqtun (Inuvialuktun),          Inuktitut,"          Inuit languages, n.i.e.",        Iroquoian languages,          Cayuga,          Mohawk,          Oneida,"          Iroquoian languages, n.i.e.",        Kutenai,        Michif,        Salish languages,          Comox,          Halkomelem,          Lillooet,          Okanagan,          Shuswap (Secwepemctsin),          Squamish,          Straits,          Thompson (Ntlakapamux),"          Salish languages, n.i.e.",        Siouan languages,          Dakota,          Stoney,"          Siouan languages, n.i.e.",        Tlingit,        Tsimshian languages,          Gitxsan (Gitksan),          Nisga'a,          Tsimshian,        Wakashan languages,          Haisla,          Heiltsuk,          Kwakiutl (Kwak'wala),          Nuu-chah-nulth (Nootka),"          Wakashan languages, n.i.e.","        Aboriginal languages, n.o.s.",      Non-Aboriginal languages,        Afro-Asiatic languages,          Berber languages,            Kabyle,"            Berber languages, n.i.e.",          Cushitic languages,            Bilen,            Oromo,            Somali,"            Cushitic languages, n.i.e.",          Semitic languages,            Amharic,            Arabic,            Assyrian Neo-Aramaic,            Chaldean Neo-Aramaic,            Harari,            Hebrew,            Maltese,            Tigrigna,"            Semitic languages, n.i.e.","          Afro-Asiatic languages, n.i.e.",        Austro-Asiatic languages,          Khmer (Cambodian),          Vietnamese,"          Austro-Asiatic languages, n.i.e",        Austronesian languages,          Bikol,          Cebuano,          Fijian,          Hiligaynon,          Ilocano,          Malagasy,          Malay,"          Pampangan (Kapampangan, Pampango)",          Pangasinan,"          Tagalog (Pilipino, Filipino)",          Waray-Waray,"          Austronesian languages, n.i.e.",        Creole languages,          Haitian Creole,"          Creole, n.o.s.","          Creole languages, n.i.e.",        Dravidian languages,          Kannada,          Malayalam,          Tamil,          Telugu,"          Dravidian languages, n.i.e.",        Hmong-Mien languages,        Indo-European languages,          Albanian,          Armenian,          Balto-Slavic languages,            Baltic languages,              Latvian,              Lithuanian,            Slavic languages,              Belarusan,              Bosnian,              Bulgarian,              Croatian,              Czech,              Macedonian,              Polish,              Russian,              Serbian,              Serbo-Croatian,              Slovak,              Slovene (Slovenian),              Ukrainian,"              Slavic languages, n.i.e.",          Celtic languages,            Scottish Gaelic,            Welsh,"            Celtic languages, n.i.e.",          Germanic languages,            Afrikaans,            Danish,            Dutch,            Frisian,            German,            Icelandic,            Norwegian,            Swedish,            Vlaams (Flemish),            Yiddish,"            Germanic languages, n.i.e.",          Greek,          Indo-Iranian languages,            Indo-Aryan languages,              Bengali,              Gujarati,              Hindi,              Kashmiri,              Konkani,              Marathi,              Nepali,              Oriya (Odia),              Punjabi (Panjabi),              Sindhi,              Sinhala (Sinhalese),              Urdu,            Iranian languages,              Kurdish,              Pashto,              Persian (Farsi),"            Indo-Iranian languages, n.i.e.",          Italic (Romance) languages,            Catalan,            Italian,            Portuguese,            Romanian,            Spanish,"            Italic (Romance) languages, n.i.e.",        Japanese,        Kartvelian languages,          Georgian,        Korean,        Mongolic languages,          Mongolian,        Niger-Congo languages,          Akan (Twi),          Bamanankan,          Edo,          Ewe,"          Fulah (Pular, Pulaar, Fulfulde)",          Ga,          Ganda,          Igbo,          Lingala,          Rundi (Kirundi),          Kinyarwanda (Rwanda),          Shona,          Swahili,          Wolof,          Yoruba,"          Niger-Congo languages, n.i.e.",        Nilo-Saharan languages,          Dinka,"          Nilo-Saharan languages, n.i.e.",        Sign languages,          American Sign Language,          Quebec Sign Language,"          Sign languages, n.i.e",        Sino-Tibetan languages,          Chinese languages,            Cantonese,            Hakka,            Mandarin,            Min Dong,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",            Wu (Shanghainese),"            Chinese, n.o.s.","            Chinese languages, n.i.e.",          Tibeto-Burman languages,            Burmese,            Karenic languages,            Tibetan,"            Tibeto-Burman languages, n.i.e.",        Tai-Kadai languages,          Lao,          Thai,"          Tai-Kadai languages, n.i.e",        Turkic languages,          Azerbaijani,          Turkish,          Uyghur,          Uzbek,"          Turkic languages, n.i.e.",        Uralic languages,          Estonian,          Finnish,          Hungarian,"          Uralic languages, n.i.e.","        Other languages, n.i.e.",  Multiple responses,    English and French,    English and non-official language,    French and non-official language,"    English, French and non-official language"
5350001.00,0001.00 (5350001.00)   00000 (  2.7%),595,565,415,405,10,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,10,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,15,0,0,0,10,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,5,10,10,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,20,0,0,0,0,10,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,65,65,40,0,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,25,5,20,0,0
5350002.00,0002.00 (5350002.00)   00100 (  9.0%),620,610,550,540,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,10,0,5,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0
5350003.00,0003.00 (5350003.00)   02100 ( 28.3%),465,450,255,240,15,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,25,0,0,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,110,0,0,35,0,0,0,35,0,5,0,0,0,0,5,10,10,0,0,0,0,0,0,0,0,0,15,0,5,0,0,5,0,0,0,0,0,0,0,20,10,0,5,5,0,0,0,0,0,0,0,5,0,15,0,0,15,0,45,0,5,10,10,25,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,10,0,15,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,15,0,10,0,0
5350004.00,0004.00 (5350004.00)   00100 (  6.6%),6415,6120,3505,3415,90,2615,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,115,0,0,0,15,0,5,10,5,100,30,45,5,0,0,5,0,15,0,0,80,0,75,0,255,0,5,0,5,5,0,0,0,0,235,0,5,5,0,0,0,105,0,10,85,10,0,0,910,5,0,440,10,5,10,430,0,5,10,20,45,0,185,55,35,10,5,5,40,5,0,0,0,0,40,0,0,5,0,30,0,5,0,0,0,0,5,190,150,35,15,30,0,0,0,30,0,15,0,5,25,45,0,5,40,0,220,5,20,45,10,140,0,5,10,10,20,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,975,75,40,0,25,0,5,0,0,0,900,0,0,895,5,5,0,0,0,15,0,15,0,0,0,85,0,0,85,0,0,295,35,240,10,10
5350005.00,0005.00 (5350005.00)   00000 (  4.9%),6255,6030,3905,3790,115,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,150,0,0,0,20,0,5,10,0,135,65,35,0,0,10,5,0,20,0,0,145,0,145,0,225,0,15,0,5,5,5,5,0,0,195,0,0,5,0,0,10,115,0,5,95,10,0,0,890,5,5,365,0,0,0,365,0,5,10,15,5,5,240,45,25,5,5,0,15,0,0,0,0,0,45,0,0,5,0,35,0,0,5,0,0,0,15,110,80,10,15,20,0,0,0,10,0,15,0,0,15,30,0,5,25,0,345,0,35,120,10,185,0,20,0,0,30,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,480,200,100,0,65,0,20,0,15,0,280,0,0,280,0,5,0,0,0,5,0,5,0,0,0,25,5,0,20,0,0,230,25,195,0,5
5350007.01,0007.01 (5350007.01)   00000 (  4.8%),3175,3030,1865,1810,60,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,150,0,0,0,15,0,5,0,5,135,80,20,0,0,10,0,0,30,0,0,60,0,60,0,160,0,10,0,0,10,0,0,0,0,135,0,0,5,0,5,5,45,0,5,25,15,0,0,340,5,0,120,0,0,0,120,0,0,0,0,0,0,70,20,5,0,0,0,15,0,0,0,0,0,30,0,0,5,0,20,0,0,0,5,0,0,10,65,45,10,5,15,0,0,0,5,5,5,0,0,5,15,0,0,15,0,125,5,15,25,15,65,0,5,0,0,10,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,340,50,20,0,25,0,0,0,0,0,290,0,0,295,0,5,0,0,0,5,0,0,0,0,0,30,0,0,25,0,0,145,15,120,10,5
5350007.02,0007.02 (5350007.02)   00100 (  5.1%),4590,4385,2465,2370,95,1920,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,135,0,0,0,10,0,0,5,0,130,45,45,0,0,0,0,0,35,0,0,170,5,175,0,235,0,15,0,0,15,0,5,0,0,200,0,0,5,0,5,5,85,0,10,55,20,0,0,755,5,0,280,5,0,5,275,5,0,5,10,15,5,140,55,20,5,5,0,20,0,0,0,0,0,20,0,0,5,0,15,0,0,0,0,0,0,10,135,90,15,10,20,0,0,5,10,5,5,0,5,20,40,5,5,35,0,305,0,20,115,15,155,0,5,0,0,20,0,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,390,155,90,0,50,0,5,0,10,0,235,0,0,235,0,5,0,5,0,30,0,20,10,0,0,60,0,0,55,0,0,210,10,175,10,10
5350008.01,0008.01 (5350008.01)   00000 (  4.8%),7505,7285,5495,5285,210,1790,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,100,5,0,0,0,0,0,0,0,95,5,70,5,0,0,15,5,0,0,0,30,0,30,0,80,0,0,0,0,0,0,5,5,0,70,0,0,0,0,0,0,30,0,5,15,5,0,0,1015,5,5,265,0,0,5,265,0,5,5,10,5,5,90,90,35,0,0,0,15,0,0,0,0,0,45,5,0,5,0,20,0,0,5,0,0,0,30,235,145,10,25,45,0,0,5,0,0,30,5,0,25,90,0,0,90,0,430,0,90,110,25,200,0,20,0,0,95,0,0,10,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,365,355,180,5,150,0,5,10,15,0,5,0,0,10,0,10,5,5,0,15,0,10,0,0,0,20,5,5,20,0,0,220,30,165,5,5
5350008.02,0008.02 (5350008.02)   00000 (  4.4%),9890,9570,6350,6110,235,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,250,0,0,0,15,0,0,5,0,235,35,155,0,0,5,15,0,10,10,5,80,5,80,0,135,0,0,0,0,5,0,5,0,0,125,0,5,5,0,0,0,70,5,15,35,20,0,0,1800,15,5,530,10,0,10,525,0,5,20,20,10,5,130,245,50,10,10,0,25,0,0,0,0,0,85,10,10,15,0,55,0,0,5,0,0,0,40,520,330,40,25,100,0,0,10,10,0,70,10,5,75,195,0,0,190,0,600,5,65,120,50,360,0,25,0,0,95,0,0,30,5,0,0,0,0,0,0,0,0,0,0,5,10,0,5,5,0,0,0,0,0,0,0,665,665,230,10,375,0,20,10,25,0,5,0,0,0,0,5,0,5,0,35,0,30,0,5,0,25,0,5,15,0,0,320,35,260,10,15
5350009.00,0009.00 (5350009.00)   03100 ( 32.4%),290,275,195,185,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,20,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0
