CTUID,Geography,Total - Sex,  Male,  Female
5350001.00,0001.00 (5350001.00)   00000 (  2.7%),595,310,285
5350002.00,0002.00 (5350002.00)   00100 (  9.0%),620,305,315
5350003.00,0003.00 (5350003.00)   02100 ( 28.3%),755,370,380
5350004.00,0004.00 (5350004.00)   00100 (  6.6%),6685,3395,3290
5350005.00,0005.00 (5350005.00)   00000 (  4.9%),6420,3090,3330
5350007.01,0007.01 (5350007.01)   00000 (  4.8%),3235,1665,1570
5350007.02,0007.02 (5350007.02)   00100 (  5.1%),4750,2430,2320
5350008.01,0008.01 (5350008.01)   00000 (  4.8%),7500,3755,3745
5350008.02,0008.02 (5350008.02)   00000 (  4.4%),9940,4860,5085
5350009.00,0009.00 (5350009.00)   03100 ( 32.4%),565,350,220
5350010.01,0010.01 (5350010.01)   00000 (  4.0%),5425,2580,2845
5350010.02,0010.02 (5350010.02)   00100 (  6.8%),7745,3870,3870
5350011.00,0011.00 (5350011.00)   00100 (  6.1%),17555,9055,8495
5350012.01,0012.01 (5350012.01)   00100 (  5.0%),11655,5820,5840
5350012.03,0012.03 (5350012.03)   00100 (  4.8%),8865,4695,4175
5350012.04,0012.04 (5350012.04)   00000 (  4.8%),4900,2465,2435
5350013.01,0013.01 (5350013.01)   00000 (  5.0%),6290,3150,3140
5350013.02,0013.02 (5350013.02)   00000 (  4.3%),8125,4090,4030
5350014.00,0014.00 (5350014.00)   00100 (  7.9%),1240,660,580
5350015.00,0015.00 (5350015.00)   00000 (  4.2%),3665,1810,1860
5350016.00,0016.00 (5350016.00)   00000 (  6.3%),10105,5195,4910
5350017.00,0017.00 (5350017.00)   00000 (  4.6%),7905,3715,4190
5350018.00,0018.00 (5350018.00)   00100 (  5.6%),2455,1255,1205
5350019.00,0019.00 (5350019.00)   00100 (  6.8%),3255,1615,1645
5350020.00,0020.00 (5350020.00)   00000 (  3.0%),2390,1105,1285
5350021.00,0021.00 (5350021.00)   00000 (  3.9%),5200,2405,2795
5350022.00,0022.00 (5350022.00)   00000 (  2.6%),3880,1915,1965
5350023.00,0023.00 (5350023.00)   00000 (  2.4%),3205,1525,1680
5350024.00,0024.00 (5350024.00)   00000 (  3.5%),6885,3285,3600
5350025.00,0025.00 (5350025.00)   00000 (  3.6%),3460,1720,1730
5350026.00,0026.00 (5350026.00)   00000 (  2.8%),6485,3195,3290
5350027.00,0027.00 (5350027.00)   00000 (  4.1%),4390,2175,2220
5350028.01,0028.01 (5350028.01)   00000 (  3.3%),1385,670,715
5350028.02,0028.02 (5350028.02)   00000 (  5.7%),6200,3075,3125
5350029.00,0029.00 (5350029.00)   00000 (  3.7%),6985,3520,3465
5350030.00,0030.00 (5350030.00)   00100 (  5.6%),4530,2395,2135
5350031.00,0031.00 (5350031.00)   00100 (  3.6%),6270,3130,3135
5350032.00,0032.00 (5350032.00)   01100 ( 17.6%),5360,3455,1905
5350033.00,0033.00 (5350033.00)   01100 ( 10.7%),5045,3000,2040
5350034.01,0034.01 (5350034.01)   01200 ( 15.2%),4555,2400,2150
5350034.02,0034.02 (5350034.02)   00100 (  6.6%),5145,2770,2375
5350035.00,0035.00 (5350035.00)   00100 (  5.0%),9880,4655,5220
5350036.00,0036.00 (5350036.00)   00100 (  5.0%),5490,2635,2855
5350037.00,0037.00 (5350037.00)   00100 (  7.0%),4490,2210,2280
5350038.00,0038.00 (5350038.00)   00100 (  7.9%),3775,1885,1885
5350039.00,0039.00 (5350039.00)   00100 (  5.0%),4190,2035,2160
5350040.00,0040.00 (5350040.00)   00100 (  3.4%),4570,2235,2335
